ArticleID	time	title	summary	link	source	StoryID
13	1487983081	grayling advises motorists to think hard before buying diesel	transport secretary recommends low emission cars after it emerges that thousands of children breathing toxic should think long and hard before buying a diesel car and instead consider purchasing a low emission vehicle the transport secretary has said as the government considers a strategy to tackle air pollution graylings intervention took place as the guardian revealed that tens of thousands of children were attending schools in areas with levels of toxic air in breach of eu legal limits the minister also said the government had a legal duty to cut emissions of nitrogen oxide from diesel cars which account for four in number vehicles on british roads after a high court ruling in november ordered the authorities to reduce levels of the toxic fume in the shortest possible time continue reading	https://www.theguardian.com/cities/2017/feb/25/chris-grayling-advises-motorists-to-think-hard-before-buying-diesel-cars-london-pollution-sadiq-khan	GuardianUK	279
14	1487966963	five teenagers from london charged with terror offences	male youths aged between number and number were arrested earlier this week by met police five teenagers from london aged between number and number have been charged with terror offences after being arrested earlier this week by the metropolitan statement from scotland yard on friday night said the arrests relate to plans to travel to join a proscribed organisation continue reading	https://www.theguardian.com/uk-news/2017/feb/24/five-teenagers-from-london-charged-terror-offences	GuardianUK	264
15	1487963750	nigel farage says brexit and trump win are beginning of global revolution	the former leader of the united kingdom independence party ukip spoke at the conservative political action conference friday near washington farage addressed the biggest conservative conference in america on friday claiming that brexit and the election victory of donald trump were the beginning of a great global revolution that would continue on throughout the got some very exciting elections coming up in the netherlands in france in germany the former leader of the united kingdom independence party ukip and one of the leading figures in the campaign to win referendum on leaving the eu told the crowd at the conservative political action conference continue reading	https://www.theguardian.com/us-news/2017/feb/24/nigel-farage-cpac-speech-trump-brexit-global-revolution	GuardianUK	290
16	1488034920	sadiq khan sparks row with after claiming there is no difference between scottish nationalism and racism	nicola sturgeon says mayor of comments are an insult and a sign of desperation	http://www.independent.co.uk/news/uk/politics/scottish-labour-conference-mayor-of-london-sadiq-khan-row-snp-nicola-sturgeon-no-difference-scottish-a7599111.html	IndependentUK	266
17	1488025620	deputy labour leader tom watson has demanded things have to change after humiliating copeland defeat	he warned that mass membership will not be a route to power and changing the country	http://www.independent.co.uk/news/uk/politics/labour-latest-jeremy-corbyn-copeland-tom-watson-things-have-to-change-a7599056.html	IndependentUK	263
18	1488020400	london teenagers appear in court on terror charges after planning to join isis in syria	boys aged between number and number accused of preparing terrorist acts or spreading extremist material	http://www.independent.co.uk/news/uk/crime/uk-terror-offences-isis-fighters-five-london-teenagers-charged-preparation-terrorist-acts-syria-iraq-a7598976.html	IndependentUK	264
19	1488012120	david miliband labour is further from power than any time in the last number years	former foreign secretary signals a potential return to uk politics and advocates revival of centre left politics	http://www.independent.co.uk/news/uk/politics/labour-party-latest-david-miliband-jeremy-a7598851.html	IndependentUK	262
20	1487981772	human remains found in crete belong to british holidaymaker steven cook who went missing over number years ago	we have truly found him again and he will now continue to live through the shared memories of all that knew him says family	http://www.independent.co.uk/news/uk/human-remains-steve-cook-crete-malia-holiday-missing-person-a7598701.html	IndependentUK	280
21	1487971880	ukip divisions emerge as nigel farage says stoke by election focus should have been on immigration	former leaders intervention comes amid questions over paul leadership	http://www.independent.co.uk/news/uk/politics/ukip-nigel-farage-paul-nuttall-stoke-by-election-immigration-a7598601.html	IndependentUK	286
22	1487957460	nigel farage real friends speak english	former ukip leader addresses audience members at annual conservative political action conference in washington	http://www.independent.co.uk/news/world/americas/nigel-farage-cpac-2017-speech-uk-real-friends-english-a7598451.html	IndependentUK	290
23	1488035400	woman charged after boy three killed by dog	a woman has been charged with owning a dangerously out of control dog following the death of a three year old boy in august number	http://news.sky.com/story/woman-charged-with-dog-offence-after-three-year-old-boys-death-10781563	SkyNewsUK	269
24	1487975820	shows hit and run driver mowing down teen	footage has emerged of the moment a motorist mounted a pavement and drove into a teenage girl before speeding away	http://news.sky.com/story/cctv-shows-hit-and-run-driver-mowing-down-teen-in-birmingham-10780736	SkyNewsUK	273
25	1487989260	toxic air endangering health	tens of thousands of children in a quarter of london schools are being exposed to illegal levels of air pollution that can cause lifelong health problems a study has found	http://news.sky.com/story/pollution-study-tens-of-thousands-of-children-breathing-in-toxic-air-10780834	SkyNewsUK	271
26	1487994600	squatters could pose risk to palace security	squatters in a seven storey building just metres away from buckingham palace are preparing for the prospect of eviction after being branded a possible risk to the queens security	http://news.sky.com/story/squatters-braced-for-eviction-over-buckingham-palace-security-10780839	SkyNewsUK	285
27	1487972700	card killer is finger pay the new	camden market in north london a swirl of people hunting for bargains trends and photo opportunities and amid it all is a chance to see the future	http://news.sky.com/story/paying-for-a-pint-with-your-finger-the-tech-that-could-kill-off-cards-10780629	SkyNewsUK	272
28	1488024780	tom watson says labour has to do better	labours deputy leader tom watson has told supporters the party has to change but stressed this is not the time for a leadership election	http://news.sky.com/story/tom-watson-labour-has-to-do-better-but-corbyn-should-stay-10781044	SkyNewsUK	263
29	1487979180	miliband labour at its weakest for number years	david miliband has thrown himself into labours by election infighting by declaring the party is at its weakest for number years while also refusing to rule out a comeback	http://news.sky.com/story/david-miliband-labour-at-its-weakest-for-50-years-under-corbyn-10780822	SkyNewsUK	262
30	1487954160	emma thompson wont take part in short love actually sequel	london actress emma thompson has said she is not taking part in a short love actually sequel for comic relief charity appeal because it is too soon to reprise her role in the romantic comedy after the death last year of co star alan	http://feeds.reuters.com/~r/reuters/UKDomesticNews/~3/Sg3eBwTDDIA/uk-people-thompson-loveactually-idUKKBN1631MN	ReutersUK	270
31	1487969375	uk police blind man after mistaking his cane for a gun	a blind man who was waiting for a train home was by police at a railway station in manchester england after someone reported that his walking stick was a firearm read full article at	https://www.rt.com/uk/378539-police-taser-blind-man/?utm_source=rss&utm_medium=rss&utm_campaign=RSS	RTUK	274
32	1488021120	white house excludes outlets including and daily mail from briefing	the white house has excluded several outlets from a media briefing leading to accusations donald trump is retaliating for unwelcome reporting among denied access were the the daily mail the guardian and attacked the block saying this is an unacceptable development by the trump white house	https://uk.news.yahoo.com/white-house-excludes-news-outlets-including-cnn-york-220500753.html	YahooUK	268
33	1487963100	emma thompson too sad to do love actually sequel without alan	the pair played husband and wife karen and harry in the number romantic comedy also famous for roles including villain hans in die hard and snape in the harry potter films died of cancer aged number in january number speaking at the premiere of her latest film beauty and the beast thompson said it was too soon after his death for her to appear in the charity revival by director richard	https://uk.news.yahoo.com/emma-thompson-too-sad-love-actually-sequel-without-190500029.html	YahooUK	270
34	1487962380	nigel farage hits out over ukip leader by election campaign	nigel farage has piled pressure on his successor over defeat in stoke on central claiming he should have done better in the crunch by election the former ukip leader said his messaging was too mainstream and its campaign machine lacked professionalism speaking to sky from the conservative political action conference in the us mr farage said the message could have been clearer on issues like immigration	https://uk.news.yahoo.com/farage-hits-over-nuttall-election-campaign-154800535.html	YahooUK	286
35	1488029400	david miliband labour at its weakest for number years under corbyn	david miliband has thrown himself into labours by election infighting by declaring the party is at its weakest for number years while also refusing to rule out a comeback the former foreign secretary and standard bearer says labour is now weaker than it was in the number and must confront the historic nature of the challenge it faces mr miliband was speaking in an interview in the times after labours defeat by the conservatives in the copeland by election which has prompted calls from some labour for jeremy corbyn to quit	https://uk.news.yahoo.com/david-miliband-labour-weakest-50-years-under-corbyn-015700964.html	YahooUK	262
36	1488010200	paying for a pint with your finger the tech that could kill off cards	by linking the details of that vein pattern to a bank card you can then close the circle instead of using a card to pay for a round of drinks you instead use your finger this is very clever technology being used in a very small test but so far it is working	https://uk.news.yahoo.com/paying-pint-finger-tech-could-kill-off-cards-001100624.html	YahooUK	272
37	1488013500	pollution study tens of thousands of children breathing in toxic air	tens of thousands of children in a quarter of london schools are being exposed to illegal levels of air pollution that can cause lifelong health problems a study has found the research shows that number of the capitals number nurseries primaries secondary schools and colleges in number were within number metres of nitrogen dioxide levels that breach eu legal limits london is not alone in facing an air pollution crisis birmingham derby leeds and are also badly affected experts say	https://uk.news.yahoo.com/pollution-study-tens-thousands-children-breathing-toxic-air-031600456.html	YahooUK	271
38	1488033534	air pollution endangering tens of thousands of london children study finds	tens of thousands of children in a quarter of all schools are exposed to illegal levels of air pollution that can cause permanent damage to their health a study has found pupils at number of the capitals schools including a third of nurseries are routinely breathing in toxic air that increases their chances of developing conditions such as asthma the press association reported the report also shows that poor are far more likely to be living in areas affected by air pollution linked to number early deaths every year in the capital it is one of many places hit by the air quality crisis which has caused the government to be issued with a final warning by the european commission for repeated breaches of legal limits london mayor sadiq khan who commissioned the report vowed to tackle air pollution which is also linked to heart and lung diseases he said it is an outrage that more than number schools nurseries and other educational facilities in the capital are in areas breaching legal air pollution limits we know air pollution is permanently affecting lung development resulting in smaller lungs for life i refuse to stand by when our children are being exposed to dangerously polluted air putting them at greater risk of serious health conditions when we know its within our power to tackle the problem among the measures he plans to introduce are air quality audits to help schools identify ways to protect their children from filthy air much of which is come from traffic fumes khan has has already announced the introduction of a number toxicity charge for drivers of some of the oldest and most polluting cars in central london from october he also suggested that he could go further by banning certain cars from the streets warning nothing is off the table the latest research shows that number of the capitals number nurseries primaries secondary schools and colleges in number were within number metres of nitrogen dioxide levels that breached the eu limit the number of schools affected nearly doubled from number when it was number london is not the only city affected by the air quality crisis birmingham derby leeds and are also planning to charge for the highest polluting vehicles to enter clean air zones type type see also number function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/25/air-pollution-london-children_n_15005642.html?utm_hp_ref=uk&ir=UK	HuffPostUK	271
39	1488028229	sadiq khan comments on nationalism prompt nicola sturgeon to retaliate	nicola sturgeon has hit back at sadiq khan over comments he was expected to make about nationalism speaking at the scottish labour conference in the mayor of london was due to call for a fight back against narrow nationalist parties he tweeted a preview of his speech which read the world is becoming an increasingly turbulent and divided place weve seen brexit president trump elected in the united states and the rise of right wing populist and narrow nationalist parties around the world its up to us whether in scotland or in london to fight this trend the last thing we need now is to pit different parts of our country or sections of our society against each other or to further fuel division or seek separation theres no difference between those who try to divide us on the basis of whether were english or scottish and those who try to divide us on the basis of our background race or religion the antidote to brexit and the rise of right wing populist parties is not to run away break away or push our neighbours away its to lead in a different direction the right direction now is the time to build unity create a more united kingdom and ensure everyone has the opportunities they need to succeed the full speech was published in the daily record however it later appeared that the speech had been amended so as to clarify that he was not claiming that nationalist were racist sadiq khan has changed his pre briefed speech text to make clear he does not think nationalists are racists number ross number february number number the original comments had left many scottish nationalists including first minister nicola sturgeon angry sturgeon tweeted a series of responses number number im a big admirer of but todays intervention is spectacularly ill judged nicola sturgeon february number number number number it is an insult to all those scots who support independence for reasons of inclusion social justice the antithesis of what he says nicola sturgeon february number number number number and it is a sign of the sheer desperation and moral bankruptcy that has driven so many from scottish labours ranks very disappointing nicola sturgeon february number number labour in a hole today from some of their tweets to me seem intent on digging it deeper its desperation we should all rise above it nicola sturgeon february number number some also criticised him spectacularly ill judged and misleading intervention by most scots will know he is wrong and he probably does too number angus february number number i know and know he knows better but so did corbyn when he came to scotland qu is someone in slab scripting this angus b mp february number number labours view seems to be that every independence or self determination movement that ever was or ever will be must be inherently racist pete february number number deplorable from labour disgusted knows what he said is total mince but hes happy to say it anyway desperate and shameful number mp february number number many on social media seemed to take khans original comments to be comparing nationalism and racism this is scottish nationalism that you try to paint it as racist is shameful number meanwhile in scotia february number number scottish nationalism racist no were a diverse bunch lm from spain support independence for the country i now call home february number number so sadiq khan is calling me and a lot of my friends racist i take exception to that i for one demand an apology boring ole fart february number number the scottish arent racist for wanting independence from us what an idiotic thing to say sadiq khan jay thomas february number number sadiq khan has shot himself the scots labour party in the foot some unbelievable comments made scots nationalism by no means is racist number february number number khans comments came ahead of scottish labour leader speech to the conference in which she was expected to pledge her commitment to working for a remain vote if a second scottish independence referendum were to take place function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/25/sadiq-khan-nationalism-nicola-sturgeon-to-retaliate_n_15005352.html?utm_hp_ref=uk&ir=UK	HuffPostUK	266
40	1488023562	david miliband warns labour at its weakest in number years after copeland by election defeat	labour is in its weakest state for number years david miliband has warned following the humiliating defeat in the copeland by election as jeremy corbyn made clear he is determined to continue as labour leader despite the result miliband said he was deeply concerned about the party the currently us based former foreign secretary also refused to rule out a future run for the labour leadership although admitted a return to politics was hard to see at present the press association reported miliband told the times im obviously deeply concerned that labour is further from power than at any stage in my lifetime asked about his future he added i honestly dont know what im going to do its hard to see but whats the point of saying never have warned the party was on course for a catastrophic general election defeat after the conservatives snatched the seat of copeland which had been held by labour since number corbyn said the result was very disappointing but made clear he would resist calls to resign i was elected to lead this party i am proud to lead this party he told reporters we will continue our campaigning work on the nhs on social care on housing one leading trade union figure warned corbyn he had to turn things around and show he could deliver a labour government while another said he needs to take responsibility for improving the fortunes sooner rather than later following a tumultuous election night on thursday a jubilant may travelled north to copeland to hail an astounding victory for tory candidate harrison her triumph was the first gain for a governing party in a parliamentary by election since number later may told the conservative councillors association conference in labours devastating defeat showed it is out of touch with the concerns of ordinary working people and that only the tories can truly call itself the party of working people there was some consolation for labour in stoke on central where it saw off a concerted challenge from ukip leader paul albeit with a reduced majority but there was despair among at the defeat in copeland with john woodcock mp for neighbouring barrow in warning the party was heading for a historic and catastrophic defeat at the general election senior labour backbencher david said corbyn was an obstacle to victory and should consider his position as he is simply not acceptable to traditional labour voters labours shadow leader of the lords baroness smith described the copeland defeat as devastating and said corbyn should think long and hard about his response baroness smith the shadow leader of the house of lords and a former labour mp said that corbyn had to take more care to reflect official party policy on nuclear power and weapons in a bid to reconnect with voters she told the post uk i think jeremy will be very disappointed at the election result i cant believe for one moment he draws any comfort from that result and he will be clearly be thinking long and hard about it lady smith suggested long standing personal objections to nuclear power may have harmed labour in the seat which is home to the reprocessing plant the labour party has always been a broad coalition and on nuclear theres always been differently held views she said yet the leader has to reflect the views of the party as a whole dave general secretary of the unison trade union said while the blame for a disastrous defeat did not lie solely with corbyn he had to take responsibility for what happened next nurses teaching assistants care workers and ordinary people everywhere need a labour government jeremy has to show he understands how to turn things around and deliver just that he said the leader of the shop workers trade union john said the by election results raise questions about labours electability and the vision it offers to the people of this country said the electorate clearly have doubts about labours message and direction of travel all sections of the party from the leader to elected office holders and the members need to listen to those doubts and learn from them labour needs a clear credible message that people can believe in and jeremy corbyn needs to take responsibility for delivering that sooner rather than later despite the despondency on the labour benches there was little mood for a fresh leadership challenge with fearing it would lead to a repeat of last years crushing victory for corbyn labour campaigns chairman a leadership loyalist insisted the by election was not a ballot on leadership and claimed the leader is one of the most popular politicians in the country shadow chancellor john one of closest allies hit out at tony blair and lord for high profile interventions in the days before the by elections shadow cabinet minister sir keir who has been touted as a potential replacement for mr corbyn told the guardian the copeland defeat was more fundamental than a vote on labours handling of brexit the shadow brexit secretary told the guardian it was a very bad result im not sure we are acknowledging how bad a result it was type type see also number function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/25/david-miliband-labour-jeremy-corbyn_n_15004328.html?utm_hp_ref=uk&ir=UK	HuffPostUK	262
41	1488021248	guardian and daily mail among those banned from white house press briefing	donald trumps press secretary caused outrage after banning a number of including the from a white house press briefing on friday the guardian and the daily mail were also blocked from the meeting in a move that has angered supporters of a free role in a democracy shortly after the us president gave a speech attacking the media as fake and the enemy of the people his press secretary spicer restricted multiple media from entering the daily briefing the press association reported the post was among those barred from the briefing editor in chief responded statement by editor in chief on todays briefing number post february number number and the new york times of which trump has been highly critical were also denied access the associated press and time magazine were not banned but boycotted the the briefing in protest the move drew widespread criticism on social media dictatorship alert if you ban the you should not be allowed in the uk trump number ad february number number so the white house has barred the from attending its press briefing and yet we are honouring trump with a state visit clare allan february number number when you start censoring and selecting the media to serve your agenda its no longer its propaganda impeachment strick number february number number trump banning la times allowing gateway pundit is when censorship state sponsored begins watch out sarah amy harvard february number number it also prompted many to tweet about the importance of a free press under the as well posting quotes from some of trumps presidential predecessors whoever would overthrow the liberty of a nation must begin by subduing the freeness of speech benjamin franklin number mike levin february number number remember number matt number february number number needs to listen to teddy number the anti trump number february number number freedom of the press is not just important to democracy it is democracy walter number mike levin february number number isnt fake because it disagrees with you alternative facts arent real unless theyre supported by evidence christopher february number number trump has previously been publicly critical of the twice sarcastically describing the broadcaster as another beauty the has sought clarification from the white house on why its representative was denied access the broadcasters americas bureaux editor paul added our reporting will remain fair and impartial regardless the white house invited a pool of that shares its work with other press to the briefing and said it felt everyone was represented but spicer also invited several other outlets including the right wing whose former chairman steve is now trumps chief strategist type type see also number function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/25/daily-mail-bbc-guardian-donald-trump-white-house_n_15004000.html?utm_hp_ref=uk&ir=UK	HuffPostUK	268
42	1487965020	remains of steven cook missing number year old found in well on	a skeleton found at the bottom of a well in crete is that of a british student who went missing on holiday eleven years ago police have confirmed steven cook originally from cheshire disappeared on a night out with friends in the greek party resort of in september number the number year old was last seen in a tavern asking for directions to where he was staying it was his first trip abroad cheshire police said they have received confirmation from authorities in greece that his remains had been found they said the priority was to ensure the body was brought back to the uk quickly a spokesperson said the investigation into death was being handled by the greek authorities it is not yet clear whether it is a murder inquiry reported mystery surrounds the disappearance of cook who was the subject of a public appeal for information as recently as last year the skeleton was reportedly found alongside a camera and was sent for detailed forensic examination upon being found last week cooks family posted on their profile to confirm their much loved son would be coming home the reported much loved and missed son brother uncle nephew and friend will be finally coming home to be with us once again they wrote whilst we always carried hope in our hearts that steve would come back much sooner and once again be able to share in our lives sadly we will be bringing him home to say our farewells detective inspector gary said the remains were removed from the site and taken to a nearby hospital for further forensic examination tests have been carried out and we have now received confirmation from the greek authorities that the remains belong to steven cook who went missing on number september number during a holiday to the island family have been kept fully updated on the developments and are currently being supported by cheshire officers they have been provided with support since steven first went missing and this will continue over the coming weeks this is understandably an extremely upsetting and distressing time for the cook family relatives are very appreciative of all the support the media and the public have given them over the years in their quest to find him but they have asked for their privacy to be respected at this time as they are trying to come to terms with the type type more top stories number function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/24/steven-cook-found-malia_n_14991010.html?utm_hp_ref=uk&ir=UK	HuffPostUK	280
43	1487956601	blind man by greater manchester police officers who mistook cane for gun	a blind man has been by police after his cane was mistaken for a gun greater manchester police were called to reports of a man with a gun on albert road shortly after number on thursday a force spokesman said armed response officers attended and a was deployed a number year old man was detained officers later discovered the man was in possession of a folding cane and he was subsequently released the force confirmed the man was blind superintendent steve of city of manchester team said officers responded quickly to the incident to ensure the safety of the community of it has been established that there was no threat and inquiries are ongoing to fully understand the circumstances of the incident in line with standard procedure on occasions such as this a referral has been made to professional standards branch in number a blind man was in lancashire after his white stick was mistaken for a samurai sword the man was walking in town centre on the way to meet friends at a pub when he was and then handcuffed shopkeeper dar who runs the discount master convenience store on albert road in told the manchester evening he saw armed police arriving at the scene he said i heard the police here and they shouted lie down on the ground and there was the bark of a dog as well i saw a guy sitting on the stairs of the station and a police officer came into the shop asking for a can of coke i thought it was for him they went out and gave it to the guy they made him sit on the stairs he looked to be a reasonable person the police were all armed they had pistols rather than the big guns type type more top stories number function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/24/blind-man-tasered-manchester_n_14988208.html?utm_hp_ref=uk&ir=UK	HuffPostUK	274
44	1487981050	sadiq khan warns scotland against nationalism	sturgeon calls london mayors speech an insult to scots who support independence	http://www.ft.com/cms/s/0/3d9e07ec-faa7-11e6-9516-2d969e0d3b65.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct	FTUK	266
45	1488016815	white house bars from briefing	press secretary says white house plans to fight unfair coverage	http://www.ft.com/cms/s/0/e75c0064-fb3c-11e6-8d8e-a5e3738f9ae4.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct	FTUK	268
46	1488040452	more than number firefighters tackle dangerous blaze at block of flats above express	more than number firefighters tackled a severe blaze that tore through an apartment block in a busy shopping area today smoke was seen billowing from a fourth floor flat above a express store in quays hants a spokesman for hampshire fire and rescue service said nine fire engines were in attendance with	https://www.thesun.co.uk/news/2954603/more-than-40-firefighters-tackle-dangerous-blaze-at-block-of-flats-above-tesco-express/	SunUK	275
47	1488037996	five teens accused of terror offences amid fears they were planning to join isis	five teens have been accused of terror offences amid fears they were plotting to join isis the youngsters one aged just number were arrested in a series of raids across london officers refused to confirm details of the plot but said the arrests relate to plans to travel to join a proscribed organisation	https://www.thesun.co.uk/news/2954282/five-teens-accused-of-terror-offences-amid-fears-they-were-planning-to-join-isis/	SunUK	264
48	1488037492	chilling final messages of brit tourist found dead in thailand who told pals of a scary guy with the face mask	a british holidaymaker found dead in thailand sent a chilling series of final texts to pals warning of a scary guy with a face mask andrew from was not heard from since he set out for a party on february number and was later found dead it has now emerged that he sent	https://www.thesun.co.uk/news/2954135/chilling-final-messages-of-brit-tourist-found-dead-in-thailand-who-told-pals-of-a-scary-guy-with-the-face-mask/	SunUK	281
49	1488034599	mum of four charged over the death of dexter neal number who was attacked by a dog in essex home	a mum of four has been charged over the death of three year old dexter neal fatally attacked by a dog in essex jade dunne number has been charged with owning a dog dangerously out of control that resulted in the death of the youngster essex police said dexter was bitten at home in essex in august number	https://www.thesun.co.uk/news/2954154/mum-of-four-charged-with-owning-a-dog-dangerously-out-of-control-resulting-in-death-of-three-year-old-dexter-neal/	SunUK	269
50	1488022140	run a diesel car then the transport minister might be about to cost you a packet	a government minister has warned the public not to buy diesel cars in a move that has infuriated number million owners in the uk and put the economy in jeopardy	http://feedproxy.google.com/~r/daily-express-uk-news/~3/uxMhxSBuuko/Diesel-cars-Chris-Grayling-Department-of-Transport-air-warning	DailyExpressUK	279
51	1488053152	woman charged over death of three year old boy attacked by dog in essex	american bulldog which killed neal has since been destroyed	http://www.independent.co.uk/news/uk/crime/woman-charged-over-death-of-three-year-old-boy-attacked-by-dog-in-essex-a7599681.html	IndependentUK	269
52	1488042420	rare humpback whale sighted off devon coast	photographers and sightseers are flocking to the coast of south devon to witness a rare sighting of a humpback whale	http://news.sky.com/story/rare-humpback-whale-sighted-off-devon-coast-10781993	SkyNewsUK	301
53	1488055860	barclays card payments fail for several hours	customers with barclays bank were unable to use their cards to make payments or withdraw cash for several hours	http://news.sky.com/story/barclays-card-payment-system-fails-for-several-hours-10782430	SkyNewsUK	300
54	1488038773	three men face slavery charge after police raid enormous number million cannabis farm in underground nuclear bunker	ross winter and martin will appear at court on saturday accused of slavery after a huge cannabis farm was raided by police this week	http://www.mirror.co.uk/news/uk-news/three-men-face-slavery-charge-9914467	MirrorUK	277
55	1488034874	boy number accused of having isis terrorist materials and bomb making video as four teens charged with planning syria visit	five london teenagers have appeared at westminster magistrates court charged with terror offences	http://www.mirror.co.uk/news/uk-news/boy-15-accused-having-isis-9915188	MirrorUK	264
56	1488026209	brit tourist mysteriously found dead in thailand sent chilling last messages about scary guy in face mask	andrew number was on holiday when he vanished after telling his family he was attending a full moon party on the island of ko	http://www.mirror.co.uk/news/uk-news/brit-tourist-mysteriously-found-dead-9914437	MirrorUK	281
57	1488051123	barclays for cash machine and debit card faults	the bank says it has now fixed problems with cash machines in store payments and phone banking	http://www.bbc.co.uk/news/business-39091309	BBCNewsUK	300
58	1488049156	terminally ill lowery thanks everton supporters	the five year old sunderland fan who has months to live was a mascot at the match against everton	http://www.bbc.co.uk/news/uk-england-tyne-39092656	BBCNewsUK	302
59	1488029623	london teenagers appear in court over plans to join isis in syria	four boys accused of plotting to carry out acts of terrorism abroad and fifth of having terrorist teenagers accused of planning to travel to syria to join islamic state have appeared in court on terrorism boys all from london were alleged to be plotting to carry out acts of terrorism abroad a fifth boy aged number was accused of having terrorist materials including the isis publication inspire and a bomb making video continue reading	https://www.theguardian.com/uk-news/2017/feb/25/london-teenagers-appear-in-court-over-plans-to-join-isis-in-syria	GuardianUK	264
